s1290169|1000|/bin/bash
s1270023|1000|/bin/bash
s1260119|1000|/bin/bash
mactest60|1000|/bin/bash
g2web35|4010|/bin/bash
g1ori44|4000|/bin/bash
nishida|1500|
cits-naka|593|/bin/bash
s1290136|1000|/bin/bash
wlcgue01|4070|/bin/csh
fj-haga|510|/bin/bash
ilab12test15|1000|/bin/csh
s1290103|1000|/bin/bash
hl275|1000|/bin/csh
morozov|1500|
johnson|1500|
m5251151|2100|/bin/bash
s1270093|1000|/bin/bash
s1260233|1000|/bin/bash
s1260189|1000|/bin/bash
kobayasi|1500|
s1270060|1000|/bin/bash
s1260200|1000|/bin/bash
s1260156|1000|/bin/bash
s1300217|1000|/bin/bash
s1290173|1000|/bin/bash
s1260123|1000|/bin/bash
wlcgue02|4070|/bin/csh
s1290140|1000|/bin/bash
kensho00|1000|/bin/csh
s1290027|1000|/bin/bash
hl274|1000|/bin/csh
wilson|1500|/bin/bash
jblake|1500|/bin/csh
ikantor|1500|
d8222103|2200|/bin/bash
c18jshin|1600|/bin/bash
shimizu|1500|
m5242106|2100|/bin/bash
m5241138|2100|/bin/bash
std56test91|1000|/bin/csh
hi-kobi|300|/bin/tcsh
ikegami|1500|
s1290097|1000|/bin/bash
s1280237|1000|/bin/bash
m5241105|2100|/bin/bash
s1260047|1000|/bin/bash
s1300108|1000|/bin/bash
s1290064|1000|/bin/bash
s1280204|1000|/bin/bash
s1260014|1000|/bin/bash
s1290031|1000|/bin/bash
s1280127|1000|/bin/bash
hl273|1000|/bin/csh
hl139|1000|/bin/csh
hl072|1000|/bin/csh
wlcpro05|1500|/bin/csh
ilab12test49|1000|/bin/csh
d8221103|2200|/bin/bash
s1230177|1000|/bin/tcsh
kikuchi|1500|
s1260194|1000|/bin/bash
std56test46|1000|/bin/csh
s1260161|1000|/bin/bash
dm-wei|1500|
s1300222|1000|/bin/bash
s1300178|1000|/bin/bash
m5242110|2100|/bin/bash
m5241142|2100|/bin/bash
s1260084|1000|/bin/bash
cent014|1000|/bin/bash
s1300145|1000|/bin/bash
s1280241|1000|/bin/bash
s1260051|1000|/bin/bash
s1300112|1000|/bin/bash
c21stans|1600|/bin/bash
koji-h|300|/bin/tcsh
neilyyen|1500|/bin/csh
m5261109|2100|/bin/bash
hl138|1000|/bin/csh
s1280018|1000|/bin/bash
hl071|1000|/bin/csh
ilab12test65|1000|/bin/csh
hl341|1000|/bin/csh
m5241143|2100|/bin/bash
yamauchi|1500|/bin/csh
m5241110|2100|/bin/bash
s1280198|1000|/bin/bash
s1300069|1000|/bin/bash
m5261179|2100|/bin/bash
s1280165|1000|/bin/bash
s1250115|1000|/bin/bash
canna|402|/usr/local/bin/cannaserver
s1300036|1000|/bin/bash
m5261146|2100|/bin/bash
s1280132|1000|/bin/bash
s1280088|1000|/bin/bash
s1270228|1000|/bin/bash
s1300003|1000|/bin/bash
s1280055|1000|/bin/bash
g2web06|4010|/bin/bash
g1ori15|4000|/bin/bash
hl137|1000|/bin/csh
s1280022|1000|/bin/bash
fj-chiy|510|/bin/bash
s1300183|1000|/bin/bash
hl340|1000|/bin/csh
shuka-ka|300|/bin/tcsh
s1300150|1000|/bin/bash
s1250152|1000|/bin/bash
s1300073|1000|/bin/bash
m5261147|2100|/bin/bash
s1250039|1000|/bin/bash
s1300040|1000|/bin/bash
c13mina|1600|/bin/csh
m5261114|2100|/bin/bash
s1270232|1000|/bin/bash
